NL,BE,FR,DE,DK,ES,PT,AT,IT,GB,IE,NO,SE,FI,PL,CH,LT,LV,EE,CZ,HU,RO,SK,SI,BG,HR,RS,GR
274959,189314,1319935,1099358,85279,583877,118103,166834,625871,912875,70973,411265,411367,244373,336498,162774,26740,18174,22775,148686,96260,138071,67061,30441,80132,39458,153327,113117
319982,229502,1569203,1324625,95394,713657,135843,191608,754453,988616,74200,421302,425484,263295,407452,176930,30372,20342,24156,167910,104261,141513,71937,33869,95036,47876,127946,128176
304423,222829,1674315,1285786,87748,718016,139471,184806,716309,912573,70316,405257,416499,253295,402512,195796,29265,19730,23397,163346,102831,144281,70928,34483,102295,48308,133936,149185
285912,216664,1520956,1199064,81958,685429,135003,172988,658033,872727,71000,392023,407799,246784,368061,178842,29579,20201,23220,164152,102811,140116,69395,33659,107301,45458,129269,167680
342485,245782,1531391,1449306,99235,736597,157273,194369,747286,1146657,82315,421756,432061,280775,419265,197205,33246,22516,26653,198680,118845,161418,74767,39376,104112,47760,127988,140056
341828,253105,1547674,1427549,101116,639366,163469,168705,674604,1090117,78502,431156,417961,282060,372177,197519,34833,23301,27928,197451,124328,168037,74876,40749,101411,43023,126385,121671
337512,249867,1592395,1551233,98807,801921,165575,211458,901714,1046098,83488,390518,415638,272400,475158,198183,35402,23332,27943,203324,133679,178437,85863,41945,101550,48536,119697,138320
350804,270620,1703300,1601240,101681,836503,165920,218606,933430,1120371,85040,419202,432150,259925,466803,200020,33754,22636,27062,203160,130740,182188,86197,42807,103043,50327,124681,148116
352907,276830,1733718,1626203,101694,850114,171624,218697,932794,1103583,83337,406678,436162,263672,473532,202555,33448,22576,26221,204959,123542,176619,83449,42357,109738,52823,133344,152261
308844,240363,1549963,1399361,88004,755073,147640,197084,779630,904516,71267,365411,376638,249869,425849,182928,29700,20941,23222,181718,117670,161897,76852,38971,108644,50579,135487,153408
288941,220935,1335189,1261021,89477,696274,135624,181837,685995,895826,72235,355305,362599,240364,378473,177036,28554,20048,22290,171142,108578,146294,73231,37240,103061,48697,128385,142032
348841,266533,1605716,1613489,105376,829095,155142,219143,914090,1146862,83173,403817,431111,268721,463720,202570,32614,22374,26057,202271,120285,166406,82816,41163,105969,52233,132322,146161
357408,279391,1842548,1665599,102494,830323,160725,221123,957855,1147333,78270,405935,445324,253088,472973,212358,33305,22492,26697,203491,121973,168962,83443,42211,107678,53064,138690,145389
354963,282760,1934685,1681605,103274,820294,157237,228429,970755,1132656,83253,452858,476031,269665,473592,223771,33451,22872,26975,209409,122416,171862,83985,42872,112919,54743,138558,160064
365029,297757,1993064,1713866,107949,830486,161280,229948,978547,1092894,81124,443351,500713,281557,470117,222730,33456,22967,27280,206693,121071,175953,84381,42973,115233,54632,139819,179101
351215,277917,1798654,1674878,102312,801172,153093,229913,976514,1045305,78175,400050,464373,286071,467856,216248,33765,23123,27260,205254,120403,174262,84565,43069,113920,56096,141760,187407
304336,235178,1488796,1401293,85948,713002,135843,208679,808869,928570,73248,368032,404642,254114,427551,188980,30348,20740,23802,186631,111438,169120,75758,39372,111413,53444,141932,182462
296003,226561,1425827,1277660,84459,687910,134672,186194,696857,967496,71959,380035,387898,241419,383994,170765,29561,20365,23890,183461,104818,157127,71869,35717,113965,49366,138375,170288
344205,257716,1646009,1618598,102647,794698,150098,226080,919358,1059112,78492,450531,459080,255922,458557,212614,34384,23145,26405,204929,117874,171206,82683,40502,115254,53459,142004,168345
338239,247459,1471563,1613157,104644,775894,150332,226056,959004,1034167,81182,455821,470476,272062,469011,201936,34258,22873,26431,202886,121497,173612,83840,42097,113393,54303,137059,165912
345817,258192,1524724,1632473,104930,794359,158381,223886,963872,1172195,82405,470141,487142,281790,468062,201365,34458,22899,27046,204155,122602,170289,83544,42388,109571,52464,134617,161063
348348,265325,1621069,1662502,105598,811217,167302,229092,970837,1210954,83852,469697,495897,294425,470549,217129,34063,22908,27769,209095,122379,171135,84751,42195,113972,53992,136337,158730
350539,264340,1743991,1651763,104585,800984,162036,228471,963506,1213738,90176,486940,476384,296036,470713,215999,34209,23562,27275,206718,122064,178944,84042,42469,116817,54063,138852,167883
319009,255264,1816925,1454411,95746,755016,139921,203948,793393,1089177,78879,453798,467515,280279,428535,196642,30909,21336,24147,183812,113176,167607,77056,39047,111963,50107,133659,157962
310141,248907,1825769,1362158,97182,753105,151168,192703,700241,1085282,75733,435073,455248,267542,389521,189667,29993,20486,24199,190215,107652,149341,73755,36598,102664,49147,128795,129983
356676,287559,2143977,1711512,104108,952449,171852,232797,936423,1224838,81234,470219,504127,283550,456055,233153,33844,23352,27375,211340,120139,170850,83322,41476,100666,54876,135485,145882
351652,276701,2089127,1726557,102980,989795,183308,237122,966854,1170871,84953,428816,490139,280813,465676,231592,33759,23803,27308,215454,121847,173493,84061,42960,108539,56384,140156,159002
358008,278874,2013122,1731668,105375,936650,177752,235050,978277,1124140,83268,448073,515614,289211,466582,231159,34004,23750,27433,213741,120552,177867,84394,43012,113305,56546,142542,153001
354655,278545,2112352,1729025,104916,909888,174997,238703,982700,1105709,82887,430820,515100,291054,463689,242355,34173,23822,27672,212086,122162,175307,84103,43843,113786,58626,142553,158096
343840,261807,2002565,1658953,100347,953437,179869,233293,966707,1086728,82012,402326,450852,284890,462787,232290,33588,23954,27011,208700,120848,181534,82589,43561,125471,61843,149939,177534
303638,235953,1662468,1381233,82273,783765,150632,194041,813117,907659,73205,382379,404307,265363,419801,192039,30767,22872,25429,177021,111853,171953,76257,38744,118307,53207,132506,179830
291986,235259,1536905,1293080,84036,686920,130019,180867,692098,856001,67026,384367,396389,263622,379485,176175,29316,21400,25836,174609,107938,157181,74730,36943,112452,48052,126559,156567
340488,258604,1721174,1632572,103585,820822,159744,223520,920977,1063696,79193,426291,450094,284141,456821,208954,32907,23197,27000,208872,120369,171669,83354,41248,116244,53284,138054,163492
340739,260966,1699806,1644415,106162,867106,164355,222416,966476,1070844,79039,443482,458315,277916,466793,202176,33553,23530,26512,210952,121974,176811,85489,43059,115740,56784,138533,182513
344513,264779,1793586,1662066,107178,821266,153336,228717,963172,1070506,78418,443030,445170,268451,464797,206601,33856,24283,27403,214320,122831,181863,85040,43223,122556,60210,144145,186196
351389,273414,1818758,1693233,105178,790407,154112,232617,990532,1134827,85281,440390,449001,264733,466272,211272,34050,24089,28122,216099,121911,181019,84574,43993,126051,59329,146376,178008
343514,268917,1796314,1666526,102568,788151,158479,229404,956351,1092990,84526,455893,478698,277837,466443,212615,33521,24159,28168,212993,121091,185984,83774,42855,127797,58526,146245,180432
319633,249060,1640011,1460806,101218,743789,141638,200815,821630,1039702,77168,434023,456876,261083,428974,185759,30359,21976,26362,192680,111842,172499,78596,39226,115208,51771,133235,171625
300111,237760,1550951,1354330,98410,677354,127467,191807,722712,964754,70354,440197,455889,251716,390776,174554,29248,21218,25595,195137,107508,160749,74352,37095,113664,49791,130565,167005
346100,263110,1624954,1677619,99747,811035,150170,234641,961727,1059982,79796,458396,492021,278288,456993,186985,33459,23313,27005,218881,121134,177132,84496,42462,117725,56780,139814,182905
343556,261153,1633726,1662695,97451,842327,158495,227126,991416,1083128,81420,432607,453121,274353,463509,199371,33435,22607,26669,214274,119949,180241,84951,43088,116757,59177,142256,171095
343541,253262,1511991,1640409,99996,836364,157162,218444,982278,1112212,81142,437893,460838,270367,466336,197494,33607,23666,26547,205329,120504,185344,84090,42162,118150,54394,138854,167995
338341,245668,1474233,1593858,100786,817971,157207,214576,966487,1073321,81730,439393,464562,276251,459980,187394,33831,23724,27504,201777,121539,180752,84675,42094,115621,49958,131768,158197
336338,266419,1770464,1615363,98723,792250,159458,215579,957121,1161785,84949,442799,465412,275536,455593,203716,33322,23576,26840,202209,121990,176021,82647,41142,108357,49236,131246,155074
305670,240063,1706023,1411161,90427,759111,151448,198158,813732,1101061,75533,425798,432104,266233,413208,194699,29603,20616,25520,182298,111977,162113,76830,37952,96290,49866,127990,134048
287438,227425,1666044,1322187,98231,723460,142355,188439,718188,1046155,73110,447494,467486,263594,379970,189804,28517,19060,23480,184490,106677,147896,73362,35487,95049,49062,126539,130186
333874,270324,1957013,1613643,102423,887512,159785,226725,938362,1188682,78100,463686,515174,288029,464439,222860,29012,21691,27579,208252,119604,172079,82384,40123,103017,54064,131725,154322
339761,279327,1967665,1683787,102769,912153,141690,225670,963047,1088434,82496,465994,517757,288275,470770,226831,32963,22006,27280,210442,123290,175294,84791,41199,104870,52887,130448,148928
341017,274243,1873810,1702975,101918,898654,161397,231397,967300,1099693,85065,437210,491738,278979,466222,224918,34158,22741,27753,215021,123033,176083,85465,41236,108461,52305,136194,138267
340274,271082,1844542,1672724,103161,846863,163326,229226,975113,1219445,82421,452133,481133,281864,464214,219226,34455,23625,27627,210734,122087,181636,84399,41245,112941,53764,138653,154060
348099,278784,1995223,1664478,100413,832718,163874,226779,966637,1206207,82088,441840,473567,288995,455491,215093,33041,23105,27213,208118,119844,178297,83688,40897,110902,53716,137436,162860
312169,249314,1775387,1437791,93358,776671,154781,204807,823245,1059108,76328,418313,448521,276956,421554,196647,29610,21111,26060,189709,110793,166257,75370,38703,100901,50839,132899,149158
296711,241192,1738811,1345265,97576,717150,137907,190672,716296,1067346,81926,432815,488411,273102,376888,187764,28788,20882,26226,186997,106371,151508,72400,36336,97700,49238,122934,138698
344300,285987,2088646,1695100,101559,880482,163311,228453,939799,1198127,92053,472008,528216,284419,449135,228786,33312,23384,24577,209105,121022,172598,82241,40644,104400,55176,131530,137370
346389,289878,2055586,1717295,102503,866578,168447,233026,980545,1212901,94022,469493,509841,288351,461101,226753,33944,24084,23757,211404,121548,174664,84630,41891,104167,55317,128903,150332
342829,288702,2029668,1693235,99653,890308,176815,233183,978315,1282527,92916,451309,507180,280431,463114,219497,33297,23649,26414,209660,122344,176569,84697,42320,103983,54495,128607,148403
348176,286485,2011223,1693660,99383,886848,179995,228818,965259,1201154,85197,476388,507354,276880,460747,217900,33423,23600,26692,209658,122449,172149,84535,41154,98024,53490,133069,152118
341953,285888,2004020,1703545,94191,860995,171069,226109,967518,1166948,84808,461264,515203,281256,451458,229665,32888,23808,26196,209138,118702,173677,82568,40725,103184,54916,138306,158715
312779,257931,1871736,1453442,95520,798871,165376,202017,813107,1133681,82010,446146,490259,271275,419740,196507,29464,21963,25880,197994,108935,169782,72174,38393,106526,54076,135102,164240
298977,254790,1714299,1375532,102179,750400,156728,193239,716954,1013238,75718,472332,509708,264893,380020,203870,28459,21195,25280,193810,105538,156101,69971,36181,106788,52153,132012,161060
338377,281281,1866155,1689581,97976,860183,173665,235448,930730,1141903,83417,456778,517871,283258,444640,234646,33152,23491,26125,212752,116818,173463,81464,42131,103640,59203,140930,172441
344651,291098,1893245,1691056,97016,849686,171380,229312,949505,1187276,84852,444726,504836,280094,456146,219180,33332,23746,26597,209183,116796,174165,81830,40837,99790,53822,134380,166980
345005,288669,1878351,1697050,98760,877094,169719,230788,961012,1148118,82260,434724,494957,279257,457830,219318,33197,23391,26676,208965,118922,170293,83862,41393,98288,53644,132282,149950
341025,279122,1828806,1687713,97708,820803,158950,228198,952702,1188608,84763,465486,504889,276717,459012,213696,33115,23505,26079,209565,119023,170502,83477,41723,98554,56428,132516,149469
341057,279252,1903620,1681167,96520,816875,151792,223006,946906,1172346,86167,443518,491786,280588,457945,217605,32689,23107,26187,206540,117771,178833,83248,40615,105817,55683,135795,155300
299804,238380,1724237,1437599,94422,744680,143801,197945,790691,1015196,80766,415094,436424,268162,421099,199896,29450,20271,25237,189558,109482,168300,75232,37358,101299,52980,132896,140339
279461,224350,1556432,1289471,90040,689769,131264,180035,689045,973263,71186,411139,445823,266550,377743,186357,28405,19743,24634,177834,104176,153101,72363,34619,104759,47776,130454,145798
330660,261587,1712584,1612233,94711,799879,145243,218122,895978,1108205,81562,440258,490660,282769,443958,209513,32876,23370,26205,204465,117990,171005,81726,39030,108865,50684,134160,165361
331062,266969,1774851,1661720,97295,802079,143532,226354,931031,1078606,80482,442068,471324,284020,454029,210835,32502,23659,26521,209872,118538,178615,83013,40904,115913,55366,140398,168548
327303,256625,1698294,1608408,95298,792367,139972,225837,948362,1073311,82754,429143,462347,276468,457212,207787,28547,23552,26472,205734,120180,176949,83016,41950,117764,56141,140928,179254
327146,258884,1634538,1609697,94525,784188,139972,219055,946246,1153976,84692,461178,497630,274666,455946,198218,31612,22625,25768,201661,122582,169953,83492,40306,107008,50526,131422,157456
321393,252564,1617926,1586923,92433,748670,136266,218402,924924,1135804,80077,448067,490683,278097,456068,201829,31718,21999,25611,200722,121497,165644,83916,39494,98645,51589,131082,150870
295661,225694,1391949,1361679,85878,652784,111396,188082,768028,969553,70956,438549,460835,266682,415347,172033,28053,20283,24934,176413,109083,158794,76399,35822,96052,47176,123376,135530
275910,211079,1218166,1237333,85955,600331,101407,171975,668918,887197,62751,427750,460917,259250,372344,160112,27227,19094,24386,171280,98640,145717,72655,33981,92547,43862,119288,123600
308502,230501,1330604,1519569,95235,712864,123271,209820,900763,999875,72293,448149,462744,278569,437406,188514,31158,22298,25569,194385,113953,162356,79830,39258,93554,48784,120910,136927
315987,242446,1381946,1531701,94836,745456,130117,205090,918822,1008176,66183,432213,451371,276789,433278,185588,30388,21690,25077,186471,115220,156283,77811,39449,87712,47982,112618,133108
321782,243516,1374128,1530333,93904,755391,131420,198104,925122,976523,77246,438859,485592,277689,432247,182631,30660,21709,25635,180312,113516,155498,75955,38524,86113,45640,108977,128498
320203,250487,1375949,1557709,93630,716615,131981,204313,902001,994022,77880,449244,497870,277317,448500,179029,31715,22964,25496,196002,116645,164295,79627,38192,92394,45364,109645,134129
318827,243030,1349206,1560649,92601,729496,135623,209830,901127,992619,76582,433860,478250,270750,447464,181564,31839,23176,25376,197676,117570,175885,80124,39554,103439,49286,127173,137028
281399,219023,1208000,1343445,87164,664167,116799,185210,765235,850840,69584,371181,415948,246853,409260,161777,28857,21129,23040,174690,109420,161008,73438,35016,99371,46355,125663,137039
254174,205175,1099100,1185343,79856,617049,110768,166675,665815,790731,64720,387636,410933,245962,360460,156095,27122,19402,22876,165082,102350,147673,70991,33509,95000,43872,120234,137421
303605,232175,1306772,1487941,94649,738937,123230,197923,870926,937373,72677,399119,440626,266683,426700,175842,31568,22217,26043,188841,113782,164926,76904,37028,98718,45997,116489,150194
309012,237893,1363024,1530488,95512,755692,129201,200401,908211,940113,73690,372320,419716,245978,442105,178717,31703,22925,25424,188608,116671,161659,77629,37749,94568,46024,113311,143868
320494,245105,1317025,1534018,96668,717361,126284,204843,930647,932048,76156,371317,404739,233862,442396,182222,32383,22286,24355,191094,116511,160012,77401,39718,92264,48708,109199,131112
319932,241796,1365599,1534911,96827,739399,136957,206500,923258,958531,76974,379985,432495,250715,449218,182023,32497,22120,24905,192003,116454,159035,78299,39723,91027,47547,111547,148465
304622,235583,1352476,1503075,94052,753940,139570,198944,887473,985272,77826,381635,431258,266100,446676,176780,32687,22920,26017,183292,115573,162011,77219,39400,91157,45897,108778,144012
279801,222987,1251560,1284022,85298,662834,120119,165667,742657,902084,72649,361040,377737,255631,401383,162771,29397,20788,23949,161128,104476,150452,70286,33596,86217,41893,104692,130915
273504,218808,1237881,1223042,84401,600989,110144,157779,635720,883545,67952,356386,395656,244627,367680,159510,27616,19702,23048,162977,98085,138715,68026,31951,88083,39487,102716,121340
306275,243774,1414685,1518219,95492,707424,130550,203023,868558,981641,79344,365176,434106,261341,449521,184915,32403,22543,25736,191620,114680,160212,77714,37185,91358,46474,114808,136071
312815,251265,1427082,1562512,96755,706696,129026,210961,907545,939736,77684,359786,415462,254123,453276,185887,32302,22314,25408,198163,118551,165573,81306,38901,96170,47616,121771,148083
308212,237331,1330841,1550272,94424,685295,130468,210854,911251,931590,77510,347511,400098,250341,447777,177946,32017,22158,24834,191556,116516,165770,79856,39372,103257,47463,123600,156044
306131,241141,1367197,1501672,78081,598530,130884,209473,904971,960103,78062,325358,383880,244278,443855,175795,31469,21787,24380,188374,116695,164740,77362,40125,98084,47898,121243,153120
295045,230911,1328030,1153410,73360,551147,114758,193500,861834,882453,74753,316510,338726,223393,419467,144250,31083,18879,20713,179306,112332,162373,67900,38756,95669,45167,111409,150288
265391,204710,1176708,1148333,71003,578500,109367,163615,689277,868767,71669,300685,306331,219037,344439,149384,27615,18445,20162,153027,100584,146741,65819,33759,89026,43671,111230,136282
248202,196797,1080898,1055791,71418,548998,97870,142144,570359,853608,64510,337668,314166,205079,286672,136534,22895,16722,19455,143960,88636,132434,61146,28516,89131,38077,104030,138615
264792,204932,1100521,1092312,73600,600632,110387,146278,581496,832447,65811,370749,341337,219095,292960,137991,24905,17524,23394,139359,85065,160534,59451,29854,97796,38413,105388,145444
311249,238081,1306820,1461826,91874,682145,128613,187567,862378,984665,76242,407810,395840,240290,399329,163405,29851,20601,23428,172058,109115,164327,72203,37144,93574,45947,104859,130314
318198,249318,1519893,1524749,92464,716050,135223,197236,908240,1089256,79763,411039,410023,239144,427542,178002,29838,20137,23127,184728,113294,161828,75493,38626,90694,47159,107753,129505
319105,254149,1594735,1559690,91363,767838,140213,206861,915232,1036134,76192,403833,415916,241527,432828,192680,29931,19966,23474,192527,113161,159624,74809,38161,90088,45608,109878,132486
311680,243411,1481805,1535228,88449,764678,138109,207554,899610,920971,72751,371941,405165,243638,441770,191445,30840,20095,24323,191010,114372,143353,78366,38435,75943,46819,100164,113289
275789,216452,1237934,1306585,76808,661502,116830,176486,736556,744392,63568,318511,329330,222074,391733,165970,27956,18512,20867,159646,104966,133372,71844,34600,77416,43448,109727,121732
252034,199766,1146559,1165516,77415,604949,108440,157396,637892,766612,64714,318943,331792,214587,345954,151772,26522,17752,19756,153146,96972,109638,68367,32405,72390,40146,93011,102252
300163,238550,1302772,1476391,90752,709489,132121,195487,841878,958241,77884,350889,377825,222633,413025,172256,29738,20317,22216,175349,109694,111034,74076,37166,75733,44476,95844,108307
302992,239290,1317931,1497851,91640,724585,138395,187743,872221,981299,78655,369849,388766,217182,413208,168485,28658,18875,22045,173346,107764,131595,72645,37249,85112,43657,100056,126657
305903,246276,1408103,1507514,90585,752280,143438,169021,868030,1024219,77452,355099,381011,210077,428701,171722,29214,19320,21152,178929,110273,145270,75544,37499,82428,43379,101455,126593
306136,248145,1442572,1486718,88750,753157,139212,193559,868519,1023151,77341,341238,374959,214500,420505,178525,28928,19286,21034,176194,111149,145899,75710,37786,80840,43920,101715,124290
297482,232563,1352233,1448084,84350,726481,131738,193696,880895,954845,73981,347224,373131,224661,408601,188079,28448,19141,21784,166579,110517,141547,74658,39000,78799,46150,99025,121969
259880,205475,1130099,1191933,74163,633366,116377,157035,722918,773286,68474,335343,357915,218273,369666,159547,25855,17151,20044,140912,97289,135356,65333,35087,77282,42476,99612,123518
253138,199926,1097118,1125911,73948,590437,109554,142520,629819,798671,65247,335432,374052,226638,340442,150608,26188,16623,21018,144416,91005,118730,64512,31441,74873,37441,91543,113206
304626,240327,1337082,1491232,89590,701466,130664,198199,833819,953507,73475,374708,427752,246415,430235,178855,31362,20110,24483,183832,109890,142025,75074,36660,77748,43332,99956,120383
307490,243731,1324800,1531206,88641,709956,132804,209175,860789,941725,74214,356840,394298,247834,440169,180133,31580,20929,24079,192964,114088,146667,78877,38540,79719,46893,108814,123505
310735,227158,1278722,1482733,87962,702463,134244,203185,874449,937847,73742,358243,404070,244096,432332,176134,31524,21342,24837,184923,113875,156499,77659,38576,85595,47761,117099,128052
304748,233921,1208631,1459059,89482,690540,135778,200706,866698,944521,73739,330294,396948,236169,440534,169655,31664,21471,24184,182036,112478,150211,75734,38326,88328,45530,111303,126355
303904,233021,1220853,1450780,88089,701271,138618,187309,849831,930260,72353,317575,368993,228788,436062,168704,30792,21275,23470,175370,110448,149451,75661,37711,85934,45144,104615,127491
275343,211099,1133220,1255906,83374,641138,119446,163200,640312,807854,66062,308136,339783,210815,386630,161354,27179,18716,20189,150334,100715,135286,68995,32916,79547,40653,96830,122857
258126,204288,1038984,1153278,69313,593635,110051,151334,608160,750100,61242,288592,336876,199371,348018,148757,26738,18473,19751,150643,95658,121872,66629,30168,75308,37450,96991,112660
250328,229697,1144946,1489339,94222,692220,129276,191461,837468,855485,70128,321407,368228,222880,422220,170622,30514,21073,23047,178041,109798,143084,74462,30389,79895,43240,100677,124304
294031,223757,1064203,1471743,99821,698444,131431,194522,858872,816891,71964,320789,353502,224555,433563,164100,30804,21098,23374,177545,113171,149459,76209,34457,81399,44766,99239,125899
301545,226807,1092831,1459390,100630,705640,131016,187259,861727,844419,72310,317247,352930,226517,415612,161860,29408,20595,23292,170030,110551,151979,73232,32759,83059,42585,99056,127239
297697,225916,1115783,1424161,98692,707004,132781,185207,847825,830848,72721,312035,365007,223549,403974,161728,28574,19081,23292,161900,107027,147674,71711,31593,83316,43508,99988,125279
